gene_a,gene_b,growth_a,growth_b,growth_ab,bliss_expected,bliss_score,interaction,top_shared_pathways,top_unique_pathways,mean_sigma,mean_delta
murA,fabH,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
murA,fabI,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
murA,murD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.445); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
murA,murC,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
murA,murB,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(19444444444.444); Intracellular demand(9853.049); tRNA Charging(620.402),Glyoxylate Metabolism(0.000); Intracellular demand(0.000); tRNA Charging(0.000),486111372.9904,0.0
ftsW,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.222); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.444); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6341
ftsW,ispD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
ftsW,dxr,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
murC,dxr,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
murC,ispD,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
murC,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Glyoxylate Metabolism(9722222222.222); Murein Recycling(2702702702.703); Intracellular demand(4926.024),Glyoxylate Metabolism(19444444444.444); Murein Recycling(5405405405.405); Intracellular demand(9854.049),310623254.5236,621246509.6341
fabH,folP,0.0,0.0,0.0,0.0,0.0,additive,Glyoxylate Metabolism(9722222222.222); Intracellular demand(4926.024); tRNA Charging(309.701),Glyoxylate Metabolism(19444444444.444); Intracellular demand(9854.049); tRNA Charging(621.402),243055686.8432,486111374.7783
dxr,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Murein Recycling(2702702702.703); Lipopolysaccharide Biosynthesi(12.515); Murein Biosynthesis(7.318),Murein Recycling(5405405405.405); Lipopolysaccharide Biosynthesi(27.030); Murein Biosynthesis(16.635),67567568.3764,135135137.8254
dxr,ispD,0.0,0.0,0.0,0.0,0.0,additive,Lipopolysaccharide Biosynthesi(26.030); Cell Envelope Biosynthesis(6.768); Membrane Lipid Metabolism(4.980),Biomass and maintenance functi(0.000); Unassigned(0.000); Folate Metabolism(0.000),0.696,0.0
folP,accA,0.0,-0.0,0.0,-0.0,-0.0,additive,Murein Recycling(2702702702.703); Lipopolysaccharide Biosynthesi(12.515); Murein Biosynthesis(7.318),Murein Recycling(5405405405.405); Lipopolysaccharide Biosynthesi(27.030); Murein Biosynthesis(16.635),67567568.3764,135135137.8254
folP,ispD,0.0,0.0,0.0,0.0,0.0,additive,Lipopolysaccharide Biosynthesi(26.030); Cell Envelope Biosynthesis(6.768); Membrane Lipid Metabolism(4.980),Lipopolysaccharide Biosynthesi(0.000); Cell Envelope Biosynthesis(0.000); Membrane Lipid Metabolism(0.000),0.696,0.0
folP,dxr,0.0,0.0,0.0,0.0,0.0,additive,Lipopolysaccharide Biosynthesi(26.030); Cell Envelope Biosynthesis(6.768); Membrane Lipid Metabolism(4.980),Lipopolysaccharide Biosynthesi(0.000); Cell Envelope Biosynthesis(0.000); Membrane Lipid Metabolism(0.000),0.696,0.0
folA,accA,1.0,-0.0,0.0,-0.0,-0.0,additive,Murein Recycling(2702702702.703); Murein Biosynthesis(7.818); Biomass and maintenance functi(6.412),Murein Recycling(5405405405.405); Murein Biosynthesis(15.635); Biomass and maintenance functi(12.824),67567568.0284,135135136.7711
folA,ispD,1.0,0.0,0.0,0.0,0.0,additive,Lipopolysaccharide Biosynthesi(13.015); Cell Envelope Biosynthesis(3.384); Membrane Lipid Metabolism(2.490),Lipopolysaccharide Biosynthesi(26.030); Cell Envelope Biosynthesis(6.768); Membrane Lipid Metabolism(4.980),0.348,1.7606
folA,dxr,1.0,0.0,0.0,0.0,-0.0,additive,Lipopolysaccharide Biosynthesi(13.015); Cell Envelope Biosynthesis(3.384); Membrane Lipid Metabolism(2.490),Lipopolysaccharide Biosynthesi(26.030); Cell Envelope Biosynthesis(6.768); Membrane Lipid Metabolism(4.980),0.348,1.7606
