A_mapped,A_n_reactions,A_ko_growth_ratio,A_ko_lethal,A_mean_flux_change,A_max_flux_change,A_n_upregulated,A_n_downregulated,A_flux_disruption_score,A_n_subsystems_affected,B_mapped,B_n_reactions,B_ko_growth_ratio,B_ko_lethal,B_mean_flux_change,B_max_flux_change,B_n_upregulated,B_n_downregulated,B_flux_disruption_score,B_n_subsystems_affected,both_mapped,both_lethal,any_lethal,cross_pathway,pw_A_peptidoglycan,pw_B_peptidoglycan,pw_A_LPS,pw_B_LPS,pw_A_ribosome,pw_B_ribosome,pw_A_DNA_topology,pw_B_DNA_topology,pw_A_transcription,pw_B_transcription,pw_A_fatty_acid,pw_B_fatty_acid,pw_A_folate,pw_B_folate,pw_A_isoprenoid,pw_B_isoprenoid,pw_A_cell_division,pw_B_cell_division,pw_A_signaling,pw_B_signaling,pw_A_outer_membrane,pw_B_outer_membrane,pw_A_LPS_transport,pw_B_LPS_transport,pw_A_DNA_replication,pw_B_DNA_replication,pw_A_secretion,pw_B_secretion,pw_A_translation_init,pw_B_translation_init,reaction_overlap,total_reactions,disruption_ratio,combined_disruption,subsystem_overlap,evidence_clinical
1,1,-1.1976003021519786e-27,1.0,0.11402514238863473,69.80666666666669,89,217,309.2361861579774,37,1,1,0.0,1.0,0.11402514238863448,69.80666666666664,89,217,309.2361861579767,37,1,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9999999999996789,618.4723723159541,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,26,0.0,1.0,0.1140251423886346,69.80666666666667,89,217,309.23618615797704,37,0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,26,0.0,1.0,0.1140251423886346,69.80666666666667,89,217,309.23618615797704,37,0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0,0
1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,1,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.9999999999996767,618.4723723159561,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
1,1,0.0,1.0,0.11402514238863448,69.80666666666664,89,217,309.2361861579767,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,1,1,0.0,1.0,0.11402514238863448,69.80666666666664,89,217,309.2361861579767,37,1,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.999999999999681,618.4723723159548,0,0
1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
1,1,-5.688081968813208e-21,1.0,0.11402514238863913,69.80666666666643,89,217,309.2361861579893,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,1
1,1,-5.688081968813208e-21,1.0,0.11402514238863913,69.80666666666643,89,217,309.2361861579893,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
1,1,0.0,1.0,0.11402514238863473,69.8066666666667,89,217,309.2361861579774,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
1,1,0.0,1.0,0.11402514238863473,69.8066666666667,89,217,309.2361861579774,37,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,1,1.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9999999999996745,618.4723723159555,0,0
1,1,-1.1976003021519786e-27,1.0,0.11402514238863473,69.80666666666669,89,217,309.2361861579774,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
1,3,0.0,1.0,0.11402514238863483,69.80666666666669,89,217,309.23618615797767,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0
1,1,0.0,1.0,0.11402514238863477,69.80666666666669,89,217,309.2361861579775,37,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,1,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9999999999996748,618.4723723159556,0,0
1,1,0.0,1.0,0.11402514238863477,69.80666666666669,89,217,309.2361861579775,37,1,1,-5.688081968813208e-21,1.0,0.11402514238863913,69.80666666666643,89,217,309.2361861579893,37,1,1.0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9999999999996384,618.4723723159668,0,0
1,1,1.072118165703892e-11,1.0,0.11402514238732393,69.80666666576604,89,217,309.2361861544225,37,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,1,6.263961565028655e-29,1.0,0.11402514238863498,69.8066666666666,89,217,309.23618615797807,37,0,0.0,0.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0
